,,,,,,OGP VALUE,,,,DEGREE OF DIFFICULTY,,,BRANCH OF GOV'T,,,,
RCID_120,Public Debt,Create or strengthen the legal framework on public debt,"Create or strengthen the legal framework on public debt, ideally through a single, overarching piece of debt legislation (often called a public debt management act, or PDMA). Having a single piece of legislation that contains the following elements, among others, can create an enabling environment for debt transparency:

- Clearly defining what constitutes public debt,
- Setting obligations for the administration to publish debt information, and 
- Establishing clear roles and responsibilities in debt management, including specific provisions for parliamentary approval of loans and public oversight. 
 - Specifically, parliament should be able to approve and scrutinize loans from international sources, determine which government bodies are entitled to contract loans, as well as the processes and procedures for borrowing and the penalties for improper borrowing, and support the organization of a centralized debt management office.","Create or strengthen the legal framework on public debt: Create or strengthen the legal framework on public debt, ideally through a single, overarching piece of debt legislation (often called a public debt management act, or PDMA). Having a single piece of legislation that contains the following elements, among others, can create an enabling environment for debt transparency:

- Clearly defining what constitutes public debt,
- Setting obligations for the administration to publish debt information, and 
- Establishing clear roles and responsibilities in debt management, including specific provisions for parliamentary approval of loans and public oversight. 
     - Specifically, parliament should be able to approve and scrutinize loans from international sources, determine which government bodies are entitled to contract loans, as well as the processes and procedures for borrowing and the penalties for improper borrowing, and support the organization of a centralized debt management office.",Fiscal Openness,1,0,0,0,1,0,0,0,1,,RCID_120; RCID_121; RCID_122; RCID_123; RCID_124; RCID_125; RCID_126; RCID_127; RCID_128; RCID_129,Fiscal Openness
RCID_121,Public Debt,Establish and organize a centralized debt management body,"Establish and organize a centralized debt management body. International best practice suggests that all government debt management and contraction should be conducted through a single government body, typically called a Debt Management Office or Debt Management Unit. According to international standards, such a body should have delegated authority from parliament to conduct all debt management operations and be subject to public parliamentary oversight.","Establish and organize a centralized debt management body: Establish and organize a centralized debt management body. International best practice suggests that all government debt management and contraction should be conducted through a single government body, typically called a Debt Management Office or Debt Management Unit. According to international standards, such a body should have delegated authority from parliament to conduct all debt management operations and be subject to public parliamentary oversight. ",Fiscal Openness,0,0,1,0,1,0,0,1,1,,RCID_120; RCID_121; RCID_122; RCID_123; RCID_124; RCID_125; RCID_126; RCID_127; RCID_128; RCID_129,Fiscal Openness
RCID_122,Public Debt,Increase coordination between the debt management office and the legislature,"Increase coordination between the debt management body and the budget office, including around budgeting and borrowing processes, to ensure appropriate oversight. Such coordination should include public reporting on major decisions related to this data.","Increase coordination between the debt management office and the legislature: Increase coordination between the debt management body and the budget office, including around budgeting and borrowing processes, to ensure appropriate oversight. Such coordination should include public reporting on major decisions related to this data. ",Fiscal Openness,1,0,0,0,0,1,0,1,0,,RCID_120; RCID_121; RCID_122; RCID_123; RCID_124; RCID_125; RCID_126; RCID_127; RCID_128; RCID_129,Fiscal Openness
RCID_123,Public Debt,"Proactively develop, publish, and submit key debt management documents","Proactively develop, publish, and submit key debt management documents, including for public parliamentary review. The following documents, and many more listed in this checklist from NDI and Transparency International, can be published online to facilitate public engagement with public debt. For more details, see the “Open Budgets” chapter of the Open Gov Guide, which includes fiscal openness guidance that is also relevant to public debt.

- A Medium-Term Debt Strategy (MTDS) 
- An annual borrowing plan published before the start of the fiscal year, covering planned borrowing for central government and other entities (such as subnational governments and state-owned enterprises)
- Debt Sustainability Analysis 
- Mid-Year Budget Reviews
- Annual Reports
- Disaggregated debt information, including individual loan agreements and transactions","Proactively develop, publish, and submit key debt management documents: Proactively develop, publish, and submit key debt management documents, including for public parliamentary review. The following documents, and many more listed in this checklist from NDI and Transparency International, can be published online to facilitate public engagement with public debt. For more details, see the “Open Budgets” chapter of the Open Gov Guide, which includes fiscal openness guidance that is also relevant to public debt.

- A Medium-Term Debt Strategy (MTDS) 
- An annual borrowing plan published before the start of the fiscal year, covering planned borrowing for central government and other entities (such as subnational governments and state-owned enterprises)
- Debt Sustainability Analysis 
- Mid-Year Budget Reviews
- Annual Reports
- Disaggregated debt information, including individual loan agreements and transactions",Fiscal Openness,1,0,0,0,1,0,0,1,1,,RCID_120; RCID_121; RCID_122; RCID_123; RCID_124; RCID_125; RCID_126; RCID_127; RCID_128; RCID_129,Fiscal Openness
RCID_124,Public Debt,Allow borrowers to disclose debt information,"Lenders can support transparency by omitting confidentiality clauses in lending instruments, allowing borrowers to disclose information about their debt information. Preventing borrowers from sharing such information through confidentiality clauses is essential to creating an environment where transparency can thrive.","Allow borrowers to disclose debt information: Lenders can support transparency by omitting confidentiality clauses in lending instruments, allowing borrowers to disclose information about their debt information. Preventing borrowers from sharing such information through confidentiality clauses is essential to creating an environment where transparency can thrive.",Fiscal Openness,1,0,0,0,0,1,0,0,0,,RCID_120; RCID_121; RCID_122; RCID_123; RCID_124; RCID_125; RCID_126; RCID_127; RCID_128; RCID_129,Fiscal Openness
RCID_125,Public Debt,Disclose debt information to support transparency,"Lenders may also support transparency by disclosing the value of loans, fees, charges and interest, payment schedules, and relevant information on the purpose of the debt incurred.","Disclose debt information to support transparency: Lenders may also support transparency by disclosing the value of loans, fees, charges and interest, payment schedules, and relevant information on the purpose of the debt incurred.",Fiscal Openness,1,0,0,0,0,0,1,0,0,,RCID_120; RCID_121; RCID_122; RCID_123; RCID_124; RCID_125; RCID_126; RCID_127; RCID_128; RCID_129,Fiscal Openness
RCID_126,Public Debt,"Support the creation of a standardized, publicly accessible creditor registry on loans and debt","Create a standardized, publicly accessible registry on loans and debt that creditor governments would populate. Ideally, this registry would be housed in a permanent, international institution. Over time, such a registry could also include entries from borrower governments.","Support the creation of a standardized, publicly accessible creditor registry on loans and debt: Create a standardized, publicly accessible registry on loans and debt that creditor governments would populate. Ideally, this registry would be housed in a permanent, international institution. Over time, such a registry could also include entries from borrower governments.",Fiscal Openness,1,0,0,0,0,0,1,0,0,,RCID_120; RCID_121; RCID_122; RCID_123; RCID_124; RCID_125; RCID_126; RCID_127; RCID_128; RCID_129,Fiscal Openness
RCID_127,Public Debt,Support public participation at key points of the fiscal management cycle,"Increase public participation during all stages of the fiscal cycle and at important milestones related to debt specifically, such as during debt contraction, negotiations, and the drafting of new or revised fiscal laws. The inclusion of members of vulnerable and excluded groups should be explicitly taken into account when designing public participation initiatives. Such engagement should also follow the best practices for budget openness, which are described in more detail in the “Open Budgets” chapter of the Open Gov Guide.","Support public participation at key points of the fiscal management cycle: Increase public participation during all stages of the fiscal cycle and at important milestones related to debt specifically, such as during debt contraction, negotiations, and the drafting of new or revised fiscal laws. The inclusion of members of vulnerable and excluded groups should be explicitly taken into account when designing public participation initiatives. Such engagement should also follow the best practices for budget openness, which are described in more detail in the “Open Budgets” chapter of the Open Gov Guide.",Fiscal Openness,0,1,0,1,1,0,0,1,0,,RCID_120; RCID_121; RCID_122; RCID_123; RCID_124; RCID_125; RCID_126; RCID_127; RCID_128; RCID_129,Fiscal Openness
RCID_128,Public Debt,Create a specialized parliamentary committee to monitor public debt,"Legislatures play a crucial role in approving loan agreements and holding the government accountable. Legislatures can establish a specialized committee whose responsibilities entail monitoring public debt and its interaction with budget and policy priorities to ensure that parliaments can effectively play their role. Such a committee can lead debt discussions with civil society and work together to increase public debt oversight and accountability, as in the case of Kenya.","Create a specialized parliamentary committee to monitor public debt: Legislatures play a crucial role in approving loan agreements and holding the government accountable. Legislatures can establish a specialized committee whose responsibilities entail monitoring public debt and its interaction with budget and policy priorities to ensure that parliaments can effectively play their role. Such a committee can lead debt discussions with civil society and work together to increase public debt oversight and accountability, as in the case of Kenya.",Fiscal Openness,0,0,1,0,1,0,0,0,1,,RCID_120; RCID_121; RCID_122; RCID_123; RCID_124; RCID_125; RCID_126; RCID_127; RCID_128; RCID_129,Fiscal Openness
RCID_129,Public Debt,"Require the publication of annual, independent audit reports","Require the publication of annual, independent audit reports that the mandated agency (typically the Supreme Audit Institution) will submit to parliament for scrutiny. Legislatures are responsible for reviewing and discussing the audit results and using findings to exercise oversight of the administration’s actions. Wide publication of audit results will also enable civic participation and support advocacy for greater accountability. Examples of audits include:

- Financial audits, or traditional audits, which assess if reported financial statements match actual spending, 
- Performance audits, which determine if the debt has been used in the most efficient manner possible, and 
- Compliance audits, which ensure that the government spent the authorized amount of money for the purposes intended by parliament.","Require the publication of annual, independent audit reports: Require the publication of annual, independent audit reports that the mandated agency (typically the Supreme Audit Institution) will submit to parliament for scrutiny. Legislatures are responsible for reviewing and discussing the audit results and using findings to exercise oversight of the administration’s actions. Wide publication of audit results will also enable civic participation and support advocacy for greater accountability. Examples of audits include:

- Financial audits, or traditional audits, which assess if reported financial statements match actual spending, 
- Performance audits, which determine if the debt has been used in the most efficient manner possible, and 
- Compliance audits, which ensure that the government spent the authorized amount of money for the purposes intended by parliament.",Fiscal Openness,1,0,1,0,1,0,0,1,1,,RCID_120; RCID_121; RCID_122; RCID_123; RCID_124; RCID_125; RCID_126; RCID_127; RCID_128; RCID_129,Fiscal Openness
RCID_130,GBV,Collect and publish GBV-related data in an open format,"Official government data on gender violence and femicide is often absent or incomplete. Collecting and opening up government-held data on GBV allows the public and officials to identify problems and strategies to address violence and contributes to public accountability for the success of public interventions. Targeted, disaggregated data can be significant in evaluating where and how to intervene, as seen in the case of Mexico, where femicide data has been used to inform policy-making. To that end, prioritizing collection and publication through participatory engagement with women’s empowerment organizations can identify gaps in data and increase the use of data in policy-making. Key data includes: 

- Gender-specific risks to women and girls, such as safety and accessibility,
- Data on perceptions of safety and risk, which many government assess via surveys,
- GBV-related crime reporting, including data on resolution of reports, 
- Survey data on the public’s understanding of legal rights, available resources, barriers, and outcomes around addressing GBV, and
- Access to and use of GBV-related prevention and survivor services (including medical care, justice services, and financial support).","Collect and publish GBV-related data in an open format: Official government data on gender violence and femicide is often absent or incomplete. Collecting and opening up government-held data on GBV allows the public and officials to identify problems and strategies to address violence and contributes to public accountability for the success of public interventions. Targeted, disaggregated data can be significant in evaluating where and how to intervene, as seen in the case of Mexico, where femicide data has been used to inform policy-making. To that end, prioritizing collection and publication through participatory engagement with women’s empowerment organizations can identify gaps in data and increase the use of data in policy-making. Key data includes: 

- Gender-specific risks to women and girls, such as safety and accessibility,
- Data on perceptions of safety and risk, which many government assess via surveys,
- GBV-related crime reporting, including data on resolution of reports, 
- Survey data on the public’s understanding of legal rights, available resources, barriers, and outcomes around addressing GBV, and
- Access to and use of GBV-related prevention and survivor services (including medical care, justice services, and financial support).",Inclusion,1,1,0,0,1,0,0,1,0,,RCID_130; RCID_131; RCID_132; RCID_133; RCID_134; RCID_135; RCID_136; RCID_137; RCID_138; RCID_139; RCID_140; RCID_141; RCID_142,Digital Governance
RCID_131,GBV,Implement data protection measures,"While the publication of data is essential, it is equally important that data publication is paired with data protection, ensuring the full anonymity of individuals vulnerable to GBV. This helps prevent stalking, retaliation, and harassment. Agencies and data protection authorities may work together to ensure that people can protect their privacy and safety. This may be particularly important in cases of sexual extortion (or sextortion), where public officers may be involved. In addition, this will be important when there is technology-assisted violence against women, which has become an extremely prevalent concern over the last decade.","Implement data protection measures: While the publication of data is essential, it is equally important that data publication is paired with data protection, ensuring the full anonymity of individuals vulnerable to GBV. This helps prevent stalking, retaliation, and harassment. Agencies and data protection authorities may work together to ensure that people can protect their privacy and safety. This may be particularly important in cases of sexual extortion (or sextortion), where public officers may be involved. In addition, this will be important when there is technology-assisted violence against women, which has become an extremely prevalent concern over the last decade. ",Inclusion,1,1,0,0,0,1,0,1,1,,RCID_130; RCID_131; RCID_132; RCID_133; RCID_134; RCID_135; RCID_136; RCID_137; RCID_138; RCID_139; RCID_140; RCID_141; RCID_142,Digital Governance
RCID_132,GBV,Create open models,"By most estimates, GBV is underreported. This requires estimation models to ensure that resources reach the communities and individuals that need them. Such government models can be made public and subject to comment.","Create open models: By most estimates, GBV is underreported. This requires estimation models to ensure that resources reach the communities and individuals that need them. Such government models can be made public and subject to comment.",Inclusion,1,1,0,0,0,1,0,1,0,,RCID_130; RCID_131; RCID_132; RCID_133; RCID_134; RCID_135; RCID_136; RCID_137; RCID_138; RCID_139; RCID_140; RCID_141; RCID_142,Digital Governance
RCID_133,GBV,"Make data disaggregated, interoperable, and harmonized","Ensuring comparable data across demographics and jurisdictions allows for better targeting of resources, stronger accountability, and faster learning from successes. Examples of demographic information to collect include age, ethnicity, geographic location, and marital status. This is especially important as new issues and approaches emerge, as is the case with the European Union’s emerging data on psychological violence or data on femicide in Latin America.","Make data disaggregated, interoperable, and harmonized: Ensuring comparable data across demographics and jurisdictions allows for better targeting of resources, stronger accountability, and faster learning from successes. Examples of demographic information to collect include age, ethnicity, geographic location, and marital status. This is especially important as new issues and approaches emerge, as is the case with the European Union’s emerging data on psychological violence or data on femicide in Latin America.",Inclusion,1,1,0,0,0,0,1,1,0,,RCID_130; RCID_131; RCID_132; RCID_133; RCID_134; RCID_135; RCID_136; RCID_137; RCID_138; RCID_139; RCID_140; RCID_141; RCID_142,Digital Governance
RCID_134,GBV,Protect the civic space of gender-focused organizations,"Governments can take necessary steps to ensure that women’s organizations, LGBTQIA+ organizations, and other gender-based violence organizations have room to meet, voice their concerns, and propose solutions. This may require particular care, as some of these organizations may represent vulnerable groups such as sex workers, drug users, or youth—communities that face particular stigma and harassment, as well as intense risk of GBV. These protections are doubly important when military, police, or other powerful individuals may be implicated in violence or when implementing counter-terrorism measures. Work done by the Prevention Collaborative and UN Women illustrates successful examples of such interventions.","Protect the civic space of gender-focused organizations: Governments can take necessary steps to ensure that women’s organizations, LGBTQIA+ organizations, and other gender-based violence organizations have room to meet, voice their concerns, and propose solutions. This may require particular care, as some of these organizations may represent vulnerable groups such as sex workers, drug users, or youth—communities that face particular stigma and harassment, as well as intense risk of GBV. These protections are doubly important when military, police, or other powerful individuals may be implicated in violence or when implementing counter-terrorism measures. Work done by the Prevention Collaborative and UN Women illustrates successful examples of such interventions.",Inclusion,0,1,0,0,1,0,0,1,0,,RCID_130; RCID_131; RCID_132; RCID_133; RCID_134; RCID_135; RCID_136; RCID_137; RCID_138; RCID_139; RCID_140; RCID_141; RCID_142,Digital Governance
RCID_135,GBV,Expand opportunities for civic participation in law and policy-making,"Expand opportunities for the public in developing laws, regulations, policies, and government strategies to combat GBV, including in drafting or strengthening laws to prevent and respond to GBV. Governments should proactively include individuals from vulnerable groups as well as representatives of GBV and gender-related organizations in such engagement efforts.","Expand opportunities for civic participation in law and policy-making: Expand opportunities for the public in developing laws, regulations, policies, and government strategies to combat GBV, including in drafting or strengthening laws to prevent and respond to GBV. Governments should proactively include individuals from vulnerable groups as well as representatives of GBV and gender-related organizations in such engagement efforts. ",Inclusion,0,1,0,1,1,0,0,1,1,,RCID_130; RCID_131; RCID_132; RCID_133; RCID_134; RCID_135; RCID_136; RCID_137; RCID_138; RCID_139; RCID_140; RCID_141; RCID_142,Digital Governance
RCID_136,GBV,Ensure the inclusion of GBV and gender-related organizations and representatives in designing and overseeing government programs,"Ensure that the communities impacted by GBV and gender-related organizations and representatives are included in designing and overseeing government community empowerment and education programs. Participatory and holistic approaches in such programming show stronger results. As governments seek to counter persistent violence, they will benefit from ensuring that local service delivery workers, local governments, and women’s empowerment organizations have a stake in programs through participatory approaches. 

- GBV and gender-related organizations and representatives should also be involved in the budgeting process to ensure government programs targeting GBV have sufficient funding. Publishing such budget allocations can also help promote accountability. For details, see the “Open Budgets” chapter of the Open Gov Guide.","Ensure the inclusion of GBV and gender-related organizations and representatives in designing and overseeing government programs: Ensure that the communities impacted by GBV and gender-related organizations and representatives are included in designing and overseeing government community empowerment and education programs. Participatory and holistic approaches in such programming show stronger results. As governments seek to counter persistent violence, they will benefit from ensuring that local service delivery workers, local governments, and women’s empowerment organizations have a stake in programs through participatory approaches. 

- GBV and gender-related organizations and representatives should also be involved in the budgeting process to ensure government programs targeting GBV have sufficient funding. Publishing such budget allocations can also help promote accountability. For details, see the “Open Budgets” chapter of the Open Gov Guide.",Inclusion,0,1,0,0,0,1,0,1,0,,RCID_130; RCID_131; RCID_132; RCID_133; RCID_134; RCID_135; RCID_136; RCID_137; RCID_138; RCID_139; RCID_140; RCID_141; RCID_142,Digital Governance
RCID_137,GBV,Co-create policies to address online GBV threats,"Co-create policies to address online GBV threats with the public, including representatives from marginalized groups, the private sector, and CSOs. Examples of policies include assessing potential threats, creating codes of conduct and procedures for violations, designating escalation policies, and implementing justice reforms. Virtual harassment, intimidation, and threats of violence can prevent women, LGBTQIA+ individuals, and other vulnerable communities from participating in the digital public square. These threats also have the potential to translate into offline violence.","Co-create policies to address online GBV threats: Co-create policies to address online GBV threats with the public, including representatives from marginalized groups, the private sector, and CSOs. Examples of policies include assessing potential threats, creating codes of conduct and procedures for violations, designating escalation policies, and implementing justice reforms. Virtual harassment, intimidation, and threats of violence can prevent women, LGBTQIA+ individuals, and other vulnerable communities from participating in the digital public square. These threats also have the potential to translate into offline violence. ",Inclusion,0,1,0,1,0,0,1,1,0,,RCID_130; RCID_131; RCID_132; RCID_133; RCID_134; RCID_135; RCID_136; RCID_137; RCID_138; RCID_139; RCID_140; RCID_141; RCID_142,Digital Governance
RCID_138,GBV,Strengthen the public’s role in oversight,"Legislators and administrators can better ensure that laws, regulations, and programs are effective when the public has the right to observe and inform a decision-making process. It is also important to ensure that audit reports and inspectors can publish their reports free of political interference.","Strengthen the public’s role in oversight: Legislators and administrators can better ensure that laws, regulations, and programs are effective when the public has the right to observe and inform a decision-making process. It is also important to ensure that audit reports and inspectors can publish their reports free of political interference. ",Inclusion,1,1,1,0,0,0,1,1,1,,RCID_130; RCID_131; RCID_132; RCID_133; RCID_134; RCID_135; RCID_136; RCID_137; RCID_138; RCID_139; RCID_140; RCID_141; RCID_142,Digital Governance
RCID_139,GBV,Carry out rights-based education and outreach on GBV prevention and response,This includes engaging communities and community leaders to spread normative values around violence and working with educational leadership to encourage GBV discussion in schools.,Carry out rights-based education and outreach on GBV prevention and response: This includes engaging communities and community leaders to spread normative values around violence and working with educational leadership to encourage GBV discussion in schools.,Inclusion,0,1,0,0,0,0,1,1,0,,RCID_130; RCID_131; RCID_132; RCID_133; RCID_134; RCID_135; RCID_136; RCID_137; RCID_138; RCID_139; RCID_140; RCID_141; RCID_142,Digital Governance
RCID_140,GBV,Create citizen advisory boards for first responders,"Create citizen advisory boards for first responders. Police, health, and emergency workers may be the first to encounter gender-based violence. In these cases, governments may wish to establish citizen advisory boards to address individual problems and strengthen positive interventions in first responder protocols.","Create citizen advisory boards for first responders: Create citizen advisory boards for first responders. Police, health, and emergency workers may be the first to encounter gender-based violence. In these cases, governments may wish to establish citizen advisory boards to address individual problems and strengthen positive interventions in first responder protocols.",Inclusion,0,0,1,0,1,0,0,1,0,,RCID_130; RCID_131; RCID_132; RCID_133; RCID_134; RCID_135; RCID_136; RCID_137; RCID_138; RCID_139; RCID_140; RCID_141; RCID_142,Digital Governance
RCID_141,GBV,Ensure access to redress mechanisms for unsafe workplaces,"Ensure that workers have access to redress mechanisms to address unsafe workplaces in addition to courts. For open government purposes, this may be easier to begin with public sector agencies. This can help ensure that women and other vulnerable groups have appropriate protection from stalking, intimidation, and threats of violence. In no circumstances should this replace legal or other criminal measures.","Ensure access to redress mechanisms for unsafe workplaces: Ensure that workers have access to redress mechanisms to address unsafe workplaces in addition to courts. For open government purposes, this may be easier to begin with public sector agencies. This can help ensure that women and other vulnerable groups have appropriate protection from stalking, intimidation, and threats of violence. In no circumstances should this replace legal or other criminal measures. ",Inclusion,0,0,1,1,0,1,0,1,0,,RCID_130; RCID_131; RCID_132; RCID_133; RCID_134; RCID_135; RCID_136; RCID_137; RCID_138; RCID_139; RCID_140; RCID_141; RCID_142,Digital Governance
RCID_142,GBV,Strengthen access to justice and redress for GBV survivors,"Survivors of GBV may not be able to obtain legal support due to reasons of awareness, resources, or prohibitive rules. Governments can take steps to improve access to redress and remedy by raising awareness of rights and processes, lowering procedural hurdles to make claims, and distributing legal and other aid to survivors in alternative locations. In addition, survivors of violence may need additional protections and services to supplement justice concerns, such as healthcare, shelter, and employment support. Responding agencies (such as police forces) should have publicly available information on their Standard Operating Procedures for supporting survivors. This information should also be shared with health justice organizations proactively. For more guidance, see OGP’s work on Access to Justice and in the “Access to Justice” chapter in the Open Gov Guide.","Strengthen access to justice and redress for GBV survivors: Survivors of GBV may not be able to obtain legal support due to reasons of awareness, resources, or prohibitive rules. Governments can take steps to improve access to redress and remedy by raising awareness of rights and processes, lowering procedural hurdles to make claims, and distributing legal and other aid to survivors in alternative locations. In addition, survivors of violence may need additional protections and services to supplement justice concerns, such as healthcare, shelter, and employment support. Responding agencies (such as police forces) should have publicly available information on their Standard Operating Procedures for supporting survivors. This information should also be shared with health justice organizations proactively. For more guidance, see OGP’s work on Access to Justice and in the “Access to Justice” chapter in the Open Gov Guide.",Inclusion,0,0,1,1,0,0,1,1,0,,RCID_130; RCID_131; RCID_132; RCID_133; RCID_134; RCID_135; RCID_136; RCID_137; RCID_138; RCID_139; RCID_140; RCID_141; RCID_142,Digital Governance
RCID_143,Open Gender Data,Include the collection and publication of high-value gender data in RTI frameworks,"Include the collection and publication of high-value gender data in right to information (RTI) protections, including rules on archive management and proactive disclosure requirements. For example, in countries with lists of proactive data to be published, ensure that high-value gender data is on that list. For details on RTI best practices, see the “Right to Information” chapter of the Open Gov Guide.","Include the collection and publication of high-value gender data in RTI frameworks: Include the collection and publication of high-value gender data in right to information (RTI) protections, including rules on archive management and proactive disclosure requirements. For example, in countries with lists of proactive data to be published, ensure that high-value gender data is on that list. For details on RTI best practices, see the “Right to Information” chapter of the Open Gov Guide.",Inclusion,1,0,0,0,1,0,0,1,1,,RCID_143; RCID_144; RCID_145; RCID_146; RCID_147; RCID_148; RCID_149; RCID_150; RCID_151; RCID_152; RCID_153; RCID_154,Digital Governance
RCID_144,Open Gender Data,Ensure the legal framework for data protection and ethical use applies to gender data,"Ensure that any framework laws on data protection and the ethical use of automated decision-making, including the establishment or enhancement of a Data Protection Authority, explicitly refer to the protection of gender data. Though the use of “big data” tools can help accelerate efforts to close gaps in collecting gender data, it is critical to ensure that the government creates appropriate safeguards to protect individual rights and ensure an appropriate plan for use, storage, and disposal. For detailed guidance on digital governance reforms, please see the “Automated Decision-Making, Algorithms, and Artificial Intelligence” chapter of the Open Gov Guide.","Ensure the legal framework for data protection and ethical use applies to gender data: Ensure that any framework laws on data protection and the ethical use of automated decision-making, including the establishment or enhancement of a Data Protection Authority, explicitly refer to the protection of gender data. Though the use of “big data” tools can help accelerate efforts to close gaps in collecting gender data, it is critical to ensure that the government creates appropriate safeguards to protect individual rights and ensure an appropriate plan for use, storage, and disposal. For detailed guidance on digital governance reforms, please see the “Automated Decision-Making, Algorithms, and Artificial Intelligence” chapter of the Open Gov Guide. ",Inclusion,1,0,1,0,1,0,0,0,1,,RCID_143; RCID_144; RCID_145; RCID_146; RCID_147; RCID_148; RCID_149; RCID_150; RCID_151; RCID_152; RCID_153; RCID_154,Digital Governance
RCID_145,Open Gender Data,Allocate dedicated funding to collect and publish government-held gender data,"Prioritize the allocation of sufficient dedicated funding for gender data within the budgets of national statistical offices (NSOs) and in the budgets of implementing agencies. Budget commitments increase the likelihood that gender data collection, analysis, and dissemination efforts will be funded. Publishing such budget allocations can also help promote accountability. For details, see the “Open Budgets” chapter of the Open Gov Guide.

- The NSO or open data body can conduct training sessions with public officials to ensure they have the knowledge necessary to carry out data-related tasks. 
Consider creating an incentive program to encourage public officials to further develop their fluency with open data best practices in general, and open gender data in particular.","Allocate dedicated funding to collect and publish government-held gender data: Prioritize the allocation of sufficient dedicated funding for gender data within the budgets of national statistical offices (NSOs) and in the budgets of implementing agencies. Budget commitments increase the likelihood that gender data collection, analysis, and dissemination efforts will be funded. Publishing such budget allocations can also help promote accountability. For details, see the “Open Budgets” chapter of the Open Gov Guide.

- The NSO or open data body can conduct training sessions with public officials to ensure they have the knowledge necessary to carry out data-related tasks. 
Consider creating an incentive program to encourage public officials to further develop their fluency with open data best practices in general, and open gender data in particular.",Inclusion,1,0,0,0,1,0,0,0,1,,RCID_143; RCID_144; RCID_145; RCID_146; RCID_147; RCID_148; RCID_149; RCID_150; RCID_151; RCID_152; RCID_153; RCID_154,Digital Governance
RCID_146,Open Gender Data,Prioritize the inclusion of gender data in agency and ministerial work plans,"Prioritize the inclusion of gender data in agency or ministerial work plans. One key agency that should prioritize the integration of gender data is NSOs, especially in planning national-level statistical data collection, analysis, and reporting activities each year. Other examples include gender-specific ministries, which can increase their use of gender data in planning and implementing policies and programs. 

- Chile mandates that each ministry develops an annual commitment to fulfill gender-related data goals that are evaluated by the Ministry of Women and Gender Equality in close coordination with the Office of the President. The tracking of gender data by Chile’s financial sector regulatory body illustrates how such commitments translate into real-world change. When the regulatory body began requiring banks to collect sex-disaggregated data on savings account holders, it led to the discovery of inequalities in the banking sector. For example, the regulator found that women have lower deposit rates and lower numbers of commercial loans. The government uses these annual findings to adjust policies on topics such as financial inclusion, housing, and credit.","Prioritize the inclusion of gender data in agency and ministerial work plans: Prioritize the inclusion of gender data in agency or ministerial work plans. One key agency that should prioritize the integration of gender data is NSOs, especially in planning national-level statistical data collection, analysis, and reporting activities each year. Other examples include gender-specific ministries, which can increase their use of gender data in planning and implementing policies and programs. 

- Chile mandates that each ministry develops an annual commitment to fulfill gender-related data goals that are evaluated by the Ministry of Women and Gender Equality in close coordination with the Office of the President. The tracking of gender data by Chile’s financial sector regulatory body illustrates how such commitments translate into real-world change. When the regulatory body began requiring banks to collect sex-disaggregated data on savings account holders, it led to the discovery of inequalities in the banking sector. For example, the regulator found that women have lower deposit rates and lower numbers of commercial loans. The government uses these annual findings to adjust policies on topics such as financial inclusion, housing, and credit.",Inclusion,1,0,0,0,0,1,0,1,0,,RCID_143; RCID_144; RCID_145; RCID_146; RCID_147; RCID_148; RCID_149; RCID_150; RCID_151; RCID_152; RCID_153; RCID_154,Digital Governance
RCID_147,Open Gender Data,Mandate the coordination of high-value gender data collection and publication through a new or existing body,"Mandate the coordination of high-value gender data collection and publication through a new or existing body (such as the NSO). The implementing body would coordinate or aggregate the data practices of agencies and ministries that produce key gender data sources, such as population censuses, household surveys, and administrative data. Specific tasks for the implementing agency include managing cross-sector data collection and prioritizing high-value datasets for proactive disclosure.

- Strengthening collaboration between the NSO and ministries with a high-priority gender data portfolio, in particular, is crucial to improving government-wide coordination, such as by aligning data collection, analysis, and dissemination efforts.
- According to Open Data Watch’s 2023 Gender Data Compass report, about 95 percent of statistics-related laws refer to the “importance of coordination between the NSO and other agencies that produce statistical data.” Though most laws do not specifically reference gender, this legal foundation can help catalyze greater coordination in the collection, publication, and use of gender data.","Mandate the coordination of high-value gender data collection and publication through a new or existing body: Mandate the coordination of high-value gender data collection and publication through a new or existing body (such as the NSO). The implementing body would coordinate or aggregate the data practices of agencies and ministries that produce key gender data sources, such as population censuses, household surveys, and administrative data. Specific tasks for the implementing agency include managing cross-sector data collection and prioritizing high-value datasets for proactive disclosure.

- Strengthening collaboration between the NSO and ministries with a high-priority gender data portfolio, in particular, is crucial to improving government-wide coordination, such as by aligning data collection, analysis, and dissemination efforts.
- According to Open Data Watch’s 2023 Gender Data Compass report, about 95 percent of statistics-related laws refer to the “importance of coordination between the NSO and other agencies that produce statistical data.” Though most laws do not specifically reference gender, this legal foundation can help catalyze greater coordination in the collection, publication, and use of gender data.",Inclusion,1,0,0,0,0,1,0,1,0,,RCID_143; RCID_144; RCID_145; RCID_146; RCID_147; RCID_148; RCID_149; RCID_150; RCID_151; RCID_152; RCID_153; RCID_154,Digital Governance
